Real Price,LSTM Prediction,Quantum-Corrected Prediction
195.7400054931641,203.21379,210.5831682791948
192.52999877929688,201.9434,208.84936386641957
194.97000122070312,200.38148,207.17320467233273
200.08999633789065,199.07135,205.88775953600123
197.5800018310547,198.3987,206.4898915434214
194.8300018310547,197.71896,206.15356485160763
195.5500030517578,196.92119,203.8292996089671
196.92999267578125,196.28865,203.2869501699226
204.1199951171875,195.85619,203.20529058783788
202.77999877929688,196.21078,204.8991247236263
210.9600067138672,196.62543,203.60134315625282
203.52999877929688,197.85983,205.2515805007249
211.8000030517578,198.54262,206.09517302994456
212.5,199.90596,206.03753202225843
207.3999938964844,201.34662,208.31218735567518
202.80999755859372,202.25337,209.25482854294398
203.27999877929688,202.55936,209.18861186377106
207.2899932861328,202.69989,209.6802438703189
212.05999755859372,203.04945,210.66822150297813
208.75999450683597,203.76514,210.94176959680487
206.83999633789065,204.19493,211.27404425690747
196.50999450683597,204.3808,209.59779355916004
197.00999450683597,203.52364,209.86566217596663
190.00999450683597,202.52202,210.26019011319767
195.0399932861328,200.80522,207.8927282822665
200.75,199.47318,206.64080768802748
206.63999938964844,198.76959,205.583751763572
211.94000244140625,198.83212,205.5533889271823
219.22000122070312,199.63821,207.22008082435133
218.9900054931641,201.33842,206.75748933188154
223.9600067138672,203.18292,211.8494099070786
217.5500030517578,205.49472,214.1609286437808
217.5,207.15974,212.49000876600337
224.08999633789065,208.60435,216.87651529025538
225.3000030517578,210.39014,216.3737499241831
225.16000366210935,212.11339,218.85484096879767
225.00999450683597,213.6443,221.2363431711648
219.7400054931641,214.96419,223.23906777743906
217.55999755859372,215.61823,224.03224900657625
216.8500061035156,215.83199,224.6539073640003
214.72000122070312,215.75008,224.45361189828463
208.47999572753903,215.31583,222.550511268303
213.0500030517578,214.18877,218.92498025140026
209.66000366210935,213.35553,222.0423724455044
227.97999572753903,212.23842,217.2592254303162
217.5500030517578,212.80792,217.8412496368881
220.77999877929688,212.74301,217.86932763772953
217.44000244140625,213.03305,221.69088432338634
224.41000366210935,213.08551,218.82591901016886
228.4499969482422,213.7489,218.3906691645503
230.25079345703125,214.82167,220.2034310629184
