Real Price,LSTM Prediction,Quantum-Corrected Prediction
155.6300048828125,151.32617,152.4092415128125
160.33999633789062,152.03555,153.5013396578741
160.74000549316406,153.62112,154.81461015994907
158.66000366210938,155.32898,156.14607683030908
159.5399932861328,156.56964,157.4729766540619
163.74000549316406,157.68613,158.3017357641437
161.9600067138672,159.26817,160.7709735876119
164.44000244140625,160.39261,161.69773776476228
162.3000030517578,161.65262,163.00501995011066
162.1699981689453,162.31857,164.020856218384
160.83999633789062,162.68011,164.09150477054274
161.41000366210938,162.57983,164.1127212838088
158.2899932861328,162.407,164.2890001710625
158.2899932861328,161.61513,163.38510644212556
161.8000030517578,160.75108,161.6517190830053
161.08999633789062,160.53935,161.3123967545438
159.25,160.35487,161.2482359696003
160.25,159.94386,161.19025870172158
159.42999267578125,159.74939,160.43264367703244
161.44000244140625,159.49101,160.31369746861427
162.57000732421875,159.62492,160.8743820383966
163.39999389648438,160.03528,161.39986997787938
167.25999450683594,160.64453,161.49822944737252
166.24000549316406,161.9023,163.29023910092306
163.52000427246094,162.97913,164.4537604409838
162.5500030517578,163.45049,164.56624510024807
162.24000549316406,163.53291,165.0804410665
162.10000610351562,163.36769,164.8092519649253
164.16000366210938,163.0784,164.72622372953595
164.4499969482422,163.09613,165.5883322348217
165.67999267578125,163.20412,166.0341114344639
168.44000244140625,163.54298,164.8036156870163
168.00999450683594,164.37431,165.95930362090974
168.44000244140625,165.14096,167.43307796672136
168.3800048828125,165.90059,167.6380053966743
167.3699951171875,166.5452,168.17879808594657
167.0500030517578,166.8725,168.01726553482104
169.72999572753906,166.98387,167.8520432540317
175.67999267578125,167.43779,168.90349090896123
172.38999938964844,168.85568,169.92364396345377
174.6199951171875,169.75928,171.42679479444655
174.6999969482422,170.8479,171.91628360467928
175.2899932861328,171.79216,173.67768808579413
173.5399932861328,172.65018,174.27509728021542
171.5800018310547,173.02097,174.98006061171594
171.16000366210938,172.84337,174.74455842798687
170.5399932861328,172.42307,173.98305410271584
171.6699981689453,171.82744,173.4643490856355
172.9499969482422,171.42258,173.53708011045268
173.25999450683594,171.31374,173.3797177847525
171.4199981689453,171.34871,173.29107943977905
